node_id,x,y,degree,degree_centrality,betweenness_centrality,node_type
6505,780163.793494,1429375.04843,3,2.2247930942422355e-05,0.07739545134767817,endpoint
94993,780347.962753,1429374.691544,4,2.9663907923229807e-05,0.07731633825964827,endpoint
21281,781957.672789,1437402.018704,3,2.2247930942422355e-05,0.07687670785500716,endpoint
381,775890.680664,1433385.512419,3,2.2247930942422355e-05,0.07599361356502529,endpoint
121214,775776.373543,1433318.444477,3,2.2247930942422355e-05,0.07598510638991579,endpoint
126973,775760.302416,1433307.823844,3,2.2247930942422355e-05,0.07597820610105975,endpoint
380,775904.733065,1433389.515595,3,2.2247930942422355e-05,0.07594331080386453,intersection
1155,777652.695191,1434245.781684,4,2.9663907923229807e-05,0.07583617693450043,intersection
80254,783777.953932,1429332.442854,4,2.9663907923229807e-05,0.0754127004355194,intersection
79389,779224.667361,1434625.741356,4,2.9663907923229807e-05,0.0752886293505962,intersection
108431,784798.435396,1442795.809483,4,2.9663907923229807e-05,0.0749255621453772,endpoint
25459,776901.305056,1434049.73006,4,2.9663907923229807e-05,0.07489187757413945,endpoint
51150,775358.807715,1433044.008304,3,2.2247930942422355e-05,0.07480971037991516,endpoint
66529,787260.834281,1437180.596634,4,2.9663907923229807e-05,0.0747765117083564,endpoint
39973,776762.272881,1434043.31493,3,2.2247930942422355e-05,0.07475698292514452,endpoint
39659,776695.308598,1434054.191539,3,2.2247930942422355e-05,0.0746740867905387,intersection
76105,788056.309736,1440751.450889,4,2.9663907923229807e-05,0.07456361770185709,intersection
79390,779781.739118,1434528.530143,4,2.9663907923229807e-05,0.07407341990082661,intersection
129387,786117.014792,1436731.472832,3,2.2247930942422355e-05,0.07406163696870638,endpoint
75202,786361.690448,1436827.540105,3,2.2247930942422355e-05,0.07403199674412682,endpoint
93825,786124.61799,1436734.263769,2,1.4831953961614903e-05,0.07402838380547089,endpoint
9194,781826.033375,1437041.297383,4,2.9663907923229807e-05,0.07397671551485346,endpoint
35093,781848.897111,1437101.873418,3,2.2247930942422355e-05,0.07392388943433398,endpoint
2508,786567.446969,1435145.017297,4,2.9663907923229807e-05,0.07359093106802042,endpoint
35069,781862.44995,1437137.612946,3,2.2247930942422355e-05,0.07351177698735449,endpoint
53259,779321.020279,1434636.306222,3,2.2247930942422355e-05,0.07318839794537056,endpoint
81174,786555.40924,1435329.303895,4,2.9663907923229807e-05,0.07304473613189123,endpoint
18173,779982.873447,1429388.125305,4,2.9663907923229807e-05,0.07296349046533414,endpoint
88188,775213.858239,1431336.838285,3,2.2247930942422355e-05,0.07293771032091767,endpoint
88189,775403.04525,1431224.898453,4,2.9663907923229807e-05,0.07277364444768326,endpoint
2510,786555.810268,1435324.127086,4,2.9663907923229807e-05,0.07274118548440801,endpoint
88604,775486.52838,1431183.507863,3,2.2247930942422355e-05,0.07272952465845993,endpoint
3046,786528.497512,1435728.501738,4,2.9663907923229807e-05,0.07272466045907508,intersection
3047,786543.483835,1435524.750649,3,2.2247930942422355e-05,0.07265231540172871,endpoint
76109,788362.528877,1440618.567327,2,1.4831953961614903e-05,0.07250939652999533,endpoint
76106,788070.496855,1440745.040467,2,1.4831953961614903e-05,0.07250835828551842,endpoint
39834,775307.029413,1433150.170783,3,2.2247930942422355e-05,0.07243112688877289,endpoint
58317,781918.358094,1437283.400315,3,2.2247930942422355e-05,0.0720127143508171,endpoint
18179,780989.486177,1429370.02252,3,2.2247930942422355e-05,0.07192133151493724,intersection
127520,780354.815877,1429374.572484,4,2.9663907923229807e-05,0.07186112029854537,endpoint
106655,786945.058064,1437056.958123,3,2.2247930942422355e-05,0.07175706734744929,endpoint
123673,786935.359658,1437053.126691,3,2.2247930942422355e-05,0.07170640276157096,endpoint
46481,787046.158562,1437114.943379,3,2.2247930942422355e-05,0.07155241777493532,intersection
84347,786854.140708,1437035.56727,2,1.4831953961614903e-05,0.07147518699654307,endpoint
84348,786992.332635,1437091.944558,2,1.4831953961614903e-05,0.07147173134701544,endpoint
123327,786890.165801,1437035.221577,2,1.4831953961614903e-05,0.07144977859659271,endpoint
18183,780691.317703,1429368.41554,3,2.2247930942422355e-05,0.07131803841766156,intersection
6087,785595.425343,1436655.085587,3,2.2247930942422355e-05,0.0713027084633722,intersection
